index,from_dte,to_dte,from_date,to_date,start_time,end_time,run
NIFTY,5,1,01-03-2019,30-03-2026,09:15:00,15:29:00,TRUE
NIFTY,4,1,01-03-2019,30-03-2026,09:15:00,15:29:00,TRUE
NIFTY,3,1,01-03-2019,30-03-2026,09:15:00,15:29:00,TRUE
NIFTY,2,1,01-03-2019,30-03-2026,09:15:00,15:29:00,TRUE
NIFTY,1,1,01-03-2019,30-03-2026,09:15:00,15:29:00,TRUE
SENSEX,5,1,01-01-2024,25-03-2026,09:15:00,15:29:00,TRUE
SENSEX,4,1,01-01-2024,25-03-2026,09:15:00,15:29:00,TRUE
SENSEX,3,1,01-01-2024,25-03-2026,09:15:00,15:29:00,TRUE
SENSEX,2,1,01-01-2024,25-03-2026,09:15:00,15:29:00,TRUE
SENSEX,1,1,01-01-2024,25-03-2026,09:15:00,15:29:00,TRUE
